tool,nthreads,size,repetitions,usec
Pthreads,1,1000000,1000,2721892
Pthreads,1,1000000,2000,5408812
Pthreads,1,5000000,1000,13598542
Pthreads,1,5000000,2000,27349511
Pthreads,1,10000000,1000,27357584
Pthreads,1,10000000,2000,54406983
Pthreads,2,500000,1000,1386003
Pthreads,2,500000,2000,2825345
Pthreads,2,2500000,1000,7034924
Pthreads,2,2500000,2000,14037434
Pthreads,2,5000000,1000,14082316
Pthreads,2,5000000,2000,28181426
Pthreads,4,250000,1000,772170
Pthreads,4,250000,2000,1543960
Pthreads,4,1250000,1000,4775388
Pthreads,4,1250000,2000,9531410
Pthreads,4,5000000,1000,9717152
Pthreads,4,5000000,2000,19440930